층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
1F,MAIN,3-1 교실,1F_3-1,SPACE_1F_3-1,촬영사진_넣는곳/1층/교실/본관__3-1 교실/,photos/raw/1F/classrooms/3-1/
1F,MAIN,3-2 교실,1F_3-2,SPACE_1F_3-2,촬영사진_넣는곳/1층/교실/본관__3-2 교실/,photos/raw/1F/classrooms/3-2/
1F,MAIN,3-3 교실,1F_3-3,SPACE_1F_3-3,촬영사진_넣는곳/1층/교실/본관__3-3 교실/,photos/raw/1F/classrooms/3-3/
1F,MAIN,3-4 교실,1F_3-4,SPACE_1F_3-4,촬영사진_넣는곳/1층/교실/본관__3-4 교실/,photos/raw/1F/classrooms/3-4/
2F,ANNEX,1-1 교실,2F_1-1,SPACE_2F_1-1,촬영사진_넣는곳/2층/교실/별관__1-1 교실/,photos/raw/2F/classrooms/1-1/
2F,ANNEX,1-2 교실,2F_1-2,SPACE_2F_1-2,촬영사진_넣는곳/2층/교실/별관__1-2 교실/,photos/raw/2F/classrooms/1-2/
1F,ANNEX,1-3 교실,1F_1-3,SPACE_1F_1-3,촬영사진_넣는곳/1층/교실/별관__1-3 교실/,photos/raw/1F/classrooms/1-3/
1F,ANNEX,1-4 교실,1F_1-4,SPACE_1F_1-4,촬영사진_넣는곳/1층/교실/별관__1-4 교실/,photos/raw/1F/classrooms/1-4/
1F,ANNEX,1-5 교실,1F_1-5,SPACE_1F_1-5,촬영사진_넣는곳/1층/교실/별관__1-5 교실/,photos/raw/1F/classrooms/1-5/
1F,ANNEX,1-6 교실,1F_1-6,SPACE_1F_1-6,촬영사진_넣는곳/1층/교실/별관__1-6 교실/,photos/raw/1F/classrooms/1-6/
2F,MAIN,3-5 교실,2F_3-5,SPACE_2F_3-5,촬영사진_넣는곳/2층/교실/본관__3-5 교실/,photos/raw/2F/classrooms/3-5/
2F,MAIN,3-6 교실,2F_3-6,SPACE_2F_3-6,촬영사진_넣는곳/2층/교실/본관__3-6 교실/,photos/raw/2F/classrooms/3-6/
4F,ANNEX,2-1 교실,4F_2-1,SPACE_4F_2-1,촬영사진_넣는곳/4층/교실/별관__2-1 교실/,photos/raw/4F/classrooms/2-1/
4F,ANNEX,2-2 교실,4F_2-2,SPACE_4F_2-2,촬영사진_넣는곳/4층/교실/별관__2-2 교실/,photos/raw/4F/classrooms/2-2/
4F,ANNEX,2-3 교실,4F_2-3,SPACE_4F_2-3,촬영사진_넣는곳/4층/교실/별관__2-3 교실/,photos/raw/4F/classrooms/2-3/
3F,ANNEX,2-4 교실,3F_2-4,SPACE_3F_2-4,촬영사진_넣는곳/3층/교실/별관__2-4 교실/,photos/raw/3F/classrooms/2-4/
3F,ANNEX,2-5 교실,3F_2-5,SPACE_3F_2-5,촬영사진_넣는곳/3층/교실/별관__2-5 교실/,photos/raw/3F/classrooms/2-5/
2F,ANNEX,2-6 교실,2F_2-6,SPACE_2F_2-6,촬영사진_넣는곳/2층/교실/별관__2-6 교실/,photos/raw/2F/classrooms/2-6/
3F,MAIN,5-1 교실,3F_5-1,SPACE_3F_5-1,촬영사진_넣는곳/3층/교실/본관__5-1 교실/,photos/raw/3F/classrooms/5-1/
3F,MAIN,5-2 교실,3F_5-2,SPACE_3F_5-2,촬영사진_넣는곳/3층/교실/본관__5-2 교실/,photos/raw/3F/classrooms/5-2/
3F,MAIN,5-3 교실,3F_5-3,SPACE_3F_5-3,촬영사진_넣는곳/3층/교실/본관__5-3 교실/,photos/raw/3F/classrooms/5-3/
3F,MAIN,5-4 교실,3F_5-4,SPACE_3F_5-4,촬영사진_넣는곳/3층/교실/본관__5-4 교실/,photos/raw/3F/classrooms/5-4/
3F,MAIN,5-5 교실,3F_5-5,SPACE_3F_5-5,촬영사진_넣는곳/3층/교실/본관__5-5 교실/,photos/raw/3F/classrooms/5-5/
3F,MAIN,5-6 교실,3F_5-6,SPACE_3F_5-6,촬영사진_넣는곳/3층/교실/본관__5-6 교실/,photos/raw/3F/classrooms/5-6/
3F,MAIN,5-7 교실,3F_5-7,SPACE_3F_5-7,촬영사진_넣는곳/3층/교실/본관__5-7 교실/,photos/raw/3F/classrooms/5-7/
