"촬영ID","공간ID","층","종류","이름","폴더","현장확인"
"1F_3-1","1F_3-1","1F","classroom","3-1 교실","촬영사진_넣는곳/1층/교실/3-1 교실","필요"
"1F_3-2","1F_3-2","1F","classroom","3-2 교실","촬영사진_넣는곳/1층/교실/3-2 교실","필요"
"1F_3-3","1F_3-3","1F","classroom","3-3 교실","촬영사진_넣는곳/1층/교실/3-3 교실","필요"
"1F_3-4","1F_3-4","1F","classroom","3-4 교실","촬영사진_넣는곳/1층/교실/3-4 교실","필요"
"2F_1-1","2F_1-1","2F","classroom","1-1 교실","촬영사진_넣는곳/2층/교실/1-1 교실","필요"
"2F_1-2","2F_1-2","2F","classroom","1-2 교실","촬영사진_넣는곳/2층/교실/1-2 교실","필요"
"1F_1-3","1F_1-3","1F","classroom","1-3 교실","촬영사진_넣는곳/1층/교실/1-3 교실","필요"
"1F_1-4","1F_1-4","1F","classroom","1-4 교실","촬영사진_넣는곳/1층/교실/1-4 교실","필요"
"1F_1-5","1F_1-5","1F","classroom","1-5 교실","촬영사진_넣는곳/1층/교실/1-5 교실","필요"
"1F_1-6","1F_1-6","1F","classroom","1-6 교실","촬영사진_넣는곳/1층/교실/1-6 교실","필요"
"2F_3-5","2F_3-5","2F","classroom","3-5 교실","촬영사진_넣는곳/2층/교실/3-5 교실","필요"
"2F_3-6","2F_3-6","2F","classroom","3-6 교실","촬영사진_넣는곳/2층/교실/3-6 교실","필요"
"4F_2-1","4F_2-1","4F","classroom","2-1 교실","촬영사진_넣는곳/4층/교실/2-1 교실","필요"
"4F_2-2","4F_2-2","4F","classroom","2-2 교실","촬영사진_넣는곳/4층/교실/2-2 교실","필요"
"4F_2-3","4F_2-3","4F","classroom","2-3 교실","촬영사진_넣는곳/4층/교실/2-3 교실","필요"
"3F_2-4","3F_2-4","3F","classroom","2-4 교실","촬영사진_넣는곳/3층/교실/2-4 교실","필요"
"3F_2-5","3F_2-5","3F","classroom","2-5 교실","촬영사진_넣는곳/3층/교실/2-5 교실","필요"
"2F_2-6","2F_2-6","2F","classroom","2-6 교실","촬영사진_넣는곳/2층/교실/2-6 교실","필요"
"3F_5-1","3F_5-1","3F","classroom","5-1 교실","촬영사진_넣는곳/3층/교실/5-1 교실","필요"
"3F_5-2","3F_5-2","3F","classroom","5-2 교실","촬영사진_넣는곳/3층/교실/5-2 교실","필요"
"3F_5-3","3F_5-3","3F","classroom","5-3 교실","촬영사진_넣는곳/3층/교실/5-3 교실","필요"
"3F_5-4","3F_5-4","3F","classroom","5-4 교실","촬영사진_넣는곳/3층/교실/5-4 교실","필요"
